English Date,fuel
9/30/2025,145
9/15/2025,142.5
8/31/2025,145
8/15/2025,149
7/31/2025,150
7/15/2025,148
6/30/2025,149
6/1/2025,145
5/31/2025,143
5/15/2025,142
4/30/2025,145
4/15/2025,146
3/31/2025,149
3/16/2025,151
3/1/2025,155
2/16/2025,156
1/31/2025,160
1/15/2025,156
12/31/2024,153
12/15/2024,151
11/30/2024,153
11/15/2024,153
10/31/2024,150
10/15/2024,151
9/30/2024,147
9/16/2024,149
9/1/2024,154
8/16/2024,155
7/31/2024,158
7/15/2024,160
6/30/2024,157
5/31/2024,153
5/16/2024,154
4/30/2024,159
4/16/2024,161
4/1/2024,158
3/15/2024,158
2/15/2024,160
1/31/2024,158
1/15/2024,156
12/31/2023,157
12/15/2023,157
11/30/2023,160
11/1/2023,164
10/15/2023,168
10/1/2023,173
9/30/2023,179
9/15/2023,173
9/1/2023,170
8/16/2023,167
8/1/2023,153
7/16/2023,146
7/3/2023,150
6/20/2023,155
5/16/2023,155
4/3/2023,165
2/6/2023,175
1/8/2023,172
12/16/2022,175
9/1/2022,178
7/4/2022,172
6/25/2022,163
6/19/2022,192
6/9/2022,165
6/2/2022,153
5/22/2022,163
5/14/2022,153
4/5/2022,143
3/16/2022,138
3/3/2022,133
2/20/2022,128
2/19/2022,128
2/1/2022,125
1/19/2022,122
1/1/2022,119
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
